Zeitstempel,Ich muss viel mit Kunden oder anderen Mitarbeitern kommunizieren,Name,Team,Die Zusammenarbeit im Team funktioniert unabhängig vom Arbeitsort gut..1,Meine Aufgaben lassen sich grundsätzlich auch im Homeoffice gut erledigen.,Für kreative Aufgaben ist mir der direkte Austausch im Büro wichtig.,Die aktuellen Vorgaben (z. B. Präsenztage) passen zu meiner Arbeitssituation.,"Haben Sie regelmäßig private Verpflichtungen, die feste Arbeitstage beeinflussen?",Ich fühle mich unabhängig vom Arbeitsort ins Team eingebunden.,Soziale Kontakte sind mir in der Arbeit wichtig.,An wie vielen Tagen pro Woche sind Sie aktuell im Büro?,"Wenn sie ins Büro gehen, wie viele Ihrer Kolleg:innen sind  typischerweise anwesend?",Ich bin mit meiner aktuellen hybriden Arbeitssituation zufrieden.,Welche eine Veränderung würde Ihre Arbeitssituation am meisten verbessern?,Ich kann im Büro ungestört und konzentriert arbeiten..1,Ich kann im Homeoffice ungestört und konzentriert arbeiten..1
03.09.2025 18:31:38,5.0,Anon,None,2.0,4.0,5.0,5.0,Nein,4.0,5.0,4.0,2.0,4.0,Zugang und Nähe zu Kollegen an anderen Standorten,4.0,5.0
03.09.2025 18:32:25,2.0,Anon,None,4.0,4.0,4.0,3.0,Ja,4.0,4.0,2.0,3.0,4.0,,3.0,5.0
03.09.2025 18:32:55,3.0,Anon,None,2.0,5.0,4.0,5.0,Ja,3.0,4.0,1.0,4.0,5.0,,3.0,2.0
03.09.2025 19:09:22,5.0,Anon,None,2.0,5.0,3.0,4.0,Ja,3.0,5.0,3.0,1.0,3.0,Absprachen verschlanken/effizienter gestalten und Grundsatzdiskussionen vermeiden. Gemeinschaftsgefühl stärken. Bessere Übersicht bieten.,5.0,5.0
03.09.2025 20:51:13,5.0,Anon,None,3.0,4.0,3.0,5.0,Ja,4.0,5.0,5.0,3.0,3.0,,4.0,2.0
03.09.2025 20:51:51,3.0,Anon,None,5.0,5.0,4.0,5.0,Ja,5.0,4.0,2.0,3.0,5.0,Kantine & Gemeinschaftsraum,4.0,4.0
03.09.2025 20:52:46,5.0,Anon,None,4.0,5.0,5.0,5.0,Ja,5.0,5.0,2.0,3.0,5.0,Community Spaces im Büro / Kantine oder Cafebar ,5.0,4.0
03.09.2025 22:21:09,4.0,Anon,None,2.0,3.0,5.0,5.0,Nein,2.0,4.0,5.0,4.0,4.0,,3.0,5.0
03.09.2025 22:32:35,4.0,Anon,None,3.0,5.0,5.0,4.0,Ja,4.0,5.0,3.0,2.0,5.0,,5.0,3.0
04.09.2025 06:51:03,1.0,Anon,None,4.0,5.0,5.0,5.0,Nein,4.0,4.0,2.0,2.0,4.0,,4.0,3.0
